subpop,date,amount,source_infection_stage,source_vaccination_stage,source_variant_type,source_age_strata,destination_infection_stage,destination_vaccination_stage,destination_variant_type,destination_age_strata
25000,2024-07-28,2944662.1456145616,S,unvaccinated,AllFlu,age0to4,S,unvaccinated,AllFlu,age18to49
25000,2024-07-28,1399022.824882488,S,unvaccinated,AllFlu,age0to4,S,unvaccinated,AllFlu,age50to64
25000,2024-07-28,989318.7850785078,S,unvaccinated,AllFlu,age0to4,S,unvaccinated,AllFlu,age5to17
25000,2024-07-28,1162655.109610961,S,unvaccinated,AllFlu,age0to4,S,unvaccinated,AllFlu,age65to100
24000,2024-07-28,360492.94590540946,S,unvaccinated,AllFlu,age0to4,S,unvaccinated,AllFlu,age0to4
24000,2024-07-28,2512015.9536046395,S,unvaccinated,AllFlu,age0to4,S,unvaccinated,AllFlu,age18to49
24000,2024-07-28,1222907.6228377162,S,unvaccinated,AllFlu,age0to4,S,unvaccinated,AllFlu,age50to64
24000,2024-07-28,968335.809619038,S,unvaccinated,AllFlu,age0to4,S,unvaccinated,AllFlu,age5to17
24000,2024-07-28,955095.6680331968,S,unvaccinated,AllFlu,age0to4,S,unvaccinated,AllFlu,age65to100
23000,2024-07-28,63162.45535446455,S,unvaccinated,AllFlu,age0to4,S,unvaccinated,AllFlu,age0to4
23000,2024-07-28,503830.74852514756,S,unvaccinated,AllFlu,age0to4,S,unvaccinated,AllFlu,age18to49
23000,2024-07-28,300989.79782021797,S,unvaccinated,AllFlu,age0to4,S,unvaccinated,AllFlu,age50to64
23000,2024-07-28,184145.93220677934,S,unvaccinated,AllFlu,age0to4,S,unvaccinated,AllFlu,age5to17
23000,2024-07-28,283363.06609339063,S,unvaccinated,AllFlu,age0to4,S,unvaccinated,AllFlu,age65to100
26000,2024-07-28,565030.5255,S,unvaccinated,AllFlu,age0to4,S,unvaccinated,AllFlu,age0to4
26000,2024-07-28,4026963.5865,S,unvaccinated,AllFlu,age0to4,S,unvaccinated,AllFlu,age18to49
26000,2024-07-28,2036900.166,S,unvaccinated,AllFlu,age0to4,S,unvaccinated,AllFlu,age50to64
26000,2024-07-28,1574511.87,S,unvaccinated,AllFlu,age0to4,S,unvaccinated,AllFlu,age5to17
26000,2024-07-28,1761858.8520000002,S,unvaccinated,AllFlu,age0to4,S,unvaccinated,AllFlu,age65to100
27000,2024-07-28,346633.11271127115,S,unvaccinated,AllFlu,age0to4,S,unvaccinated,AllFlu,age0to4
27000,2024-07-28,2283995.0685068504,S,unvaccinated,AllFlu,age0to4,S,unvaccinated,AllFlu,age18to49
27000,2024-07-28,1086079.9935993599,S,unvaccinated,AllFlu,age0to4,S,unvaccinated,AllFlu,age50to64
27000,2024-07-28,938635.7321732172,S,unvaccinated,AllFlu,age0to4,S,unvaccinated,AllFlu,age5to17
27000,2024-07-28,908034.093009301,S,unvaccinated,AllFlu,age0to4,S,unvaccinated,AllFlu,age65to100
29000,2024-07-28,366294.6,S,unvaccinated,AllFlu,age0to4,S,unvaccinated,AllFlu,age0to4
29000,2024-07-28,2491413.771,S,unvaccinated,AllFlu,age0to4,S,unvaccinated,AllFlu,age18to49
29000,2024-07-28,1194120.396,S,unvaccinated,AllFlu,age0to4,S,unvaccinated,AllFlu,age50to64
29000,2024-07-28,996931.803,S,unvaccinated,AllFlu,age0to4,S,unvaccinated,AllFlu,age5to17
29000,2024-07-28,1056149.43,S,unvaccinated,AllFlu,age0to4,S,unvaccinated,AllFlu,age65to100
28000,2024-07-28,183858.53465346535,S,unvaccinated,AllFlu,age0to4,S,unvaccinated,AllFlu,age0to4
28000,2024-07-28,1228210.8280828083,S,unvaccinated,AllFlu,age0to4,S,unvaccinated,AllFlu,age18to49
28000,2024-07-28,567693.0729072908,S,unvaccinated,AllFlu,age0to4,S,unvaccinated,AllFlu,age50to64
28000,2024-07-28,516654.4212421242,S,unvaccinated,AllFlu,age0to4,S,unvaccinated,AllFlu,age5to17
28000,2024-07-28,488001.1431143114,S,unvaccinated,AllFlu,age0to4,S,unvaccinated,AllFlu,age65to100
30000,2024-07-28,60097.1228,S,unvaccinated,AllFlu,age0to4,S,unvaccinated,AllFlu,age0to4
30000,2024-07-28,417107.65300000005,S,unvaccinated,AllFlu,age0to4,S,unvaccinated,AllFlu,age18to49
30000,2024-07-28,205822.1391,S,unvaccinated,AllFlu,age0to4,S,unvaccinated,AllFlu,age50to64
30000,2024-07-28,164636.69830000002,S,unvaccinated,AllFlu,age0to4,S,unvaccinated,AllFlu,age5to17
30000,2024-07-28,202985.3868,S,unvaccinated,AllFlu,age0to4,S,unvaccinated,AllFlu,age65to100
37000,2024-07-28,596389.2956,S,unvaccinated,AllFlu,age0to4,S,unvaccinated,AllFlu,age0to4
37000,2024-07-28,4305088.9944,S,unvaccinated,AllFlu,age0to4,S,unvaccinated,AllFlu,age18to49
37000,2024-07-28,1994465.4068,S,unvaccinated,AllFlu,age0to4,S,unvaccinated,AllFlu,age50to64
37000,2024-07-28,1654698.0112,S,unvaccinated,AllFlu,age0to4,S,unvaccinated,AllFlu,age5to17
37000,2024-07-28,1714234.2920000001,S,unvaccinated,AllFlu,age0to4,S,unvaccinated,AllFlu,age65to100
38000,2024-07-28,53726.90699999999,S,unvaccinated,AllFlu,age0to4,S,unvaccinated,AllFlu,age0to4
38000,2024-07-28,326372.0421,S,unvaccinated,AllFlu,age0to4,S,unvaccinated,AllFlu,age18to49
38000,2024-07-28,132425.475,S,unvaccinated,AllFlu,age0to4,S,unvaccinated,AllFlu,age50to64
38000,2024-07-28,125160.99179999999,S,unvaccinated,AllFlu,age0to4,S,unvaccinated,AllFlu,age5to17
38000,2024-07-28,119031.5841,S,unvaccinated,AllFlu,age0to4,S,unvaccinated,AllFlu,age65to100
31000,2024-07-28,129629.4196419642,S,unvaccinated,AllFlu,age0to4,S,unvaccinated,AllFlu,age0to4
31000,2024-07-28,788307.7114711471,S,unvaccinated,AllFlu,age0to4,S,unvaccinated,AllFlu,age18to49
31000,2024-07-28,345806.10321032105,S,unvaccinated,AllFlu,age0to4,S,unvaccinated,AllFlu,age50to64
31000,2024-07-28,341593.62576257624,S,unvaccinated,AllFlu,age0to4,S,unvaccinated,AllFlu,age5to17
31000,2024-07-28,309234.13991399144,S,unvaccinated,AllFlu,age0to4,S,unvaccinated,AllFlu,age65to100
33000,2024-07-28,63092.2032,S,unvaccinated,AllFlu,age0to4,S,unvaccinated,AllFlu,age0to4
33000,2024-07-28,534665.9784,S,unvaccinated,AllFlu,age0to4,S,unvaccinated,AllFlu,age18to49
33000,2024-07-28,308720.396,S,unvaccinated,AllFlu,age0to4,S,unvaccinated,AllFlu,age50to64
33000,2024-07-28,189950.6716,S,unvaccinated,AllFlu,age0to4,S,unvaccinated,AllFlu,age5to17
33000,2024-07-28,251694.7508,S,unvaccinated,AllFlu,age0to4,S,unvaccinated,AllFlu,age65to100
34000,2024-07-28,514116.73537353735,S,unvaccinated,AllFlu,age0to4,S,unvaccinated,AllFlu,age0to4
34000,2024-07-28,3627231.1986198616,S,unvaccinated,AllFlu,age0to4,S,unvaccinated,AllFlu,age18to49
34000,2024-07-28,1838921.863486349,S,unvaccinated,AllFlu,age0to4,S,unvaccinated,AllFlu,age50to64
34000,2024-07-28,1423366.3675367536,S,unvaccinated,AllFlu,age0to4,S,unvaccinated,AllFlu,age5to17
34000,2024-07-28,1474866.8349834983,S,unvaccinated,AllFlu,age0to4,S,unvaccinated,AllFlu,age65to100
35000,2024-07-28,120734.5958,S,unvaccinated,AllFlu,age0to4,S,unvaccinated,AllFlu,age0to4
35000,2024-07-28,850373.3056,S,unvaccinated,AllFlu,age0to4,S,unvaccinated,AllFlu,age18to49
35000,2024-07-28,390451.9164,S,unvaccinated,AllFlu,age0to4,S,unvaccinated,AllFlu,age50to64
